iteration,cost
254,139154149.5673725
255,138926503.61046502
256,138702375.14580292
257,138481703.26079723
258,138264428.11524704
259,138050490.92224067
260,137839833.92939878
261,137632400.40045628
262,137428134.59717515
263,137226981.76158217
264,137028888.0985273
265,136833800.75855386
266,136641667.82107866
267,136452438.27787313
268,136266062.01684147
269,136082489.80609122
270,135901673.27828866
271,135723564.91529652
272,135548118.03308648
273,135375286.76692337
274,135205026.05681518
275,135037291.63322374
276,134872040.00303286
277,134709228.4357671
278,134548814.95005897
279,134390758.30035728
280,134235017.963876
281,134081554.1277752
282,133930327.67657278
283,133781300.17978187
284,133634433.87976907
285,133489691.67983136
286,133347037.13248557
287,133206434.42796825
288,133067848.38294107
289,132931244.42939886
290,132796588.60377623
291,132663847.53624836
292,132532988.44022425
293,132403979.10202783
294,132276787.87076287
295,132151383.64836015
296,132027735.87980178
297,131905814.54352127
298,131785590.14197396
299,131667033.69237714
300,131550116.71761508
301,131434811.23730654
302,131321089.75903183
303,131208925.26971704
304,131098291.22717145
305,130989161.55177617
306,130881510.61832155
307,130775313.24799027
308,130670544.70048217
309,130567180.66628179
310,130465197.25906184
311,130364571.00822334
312,130265278.85156803
313,130167298.12810223
314,130070606.57096785
315,129975182.30050054
316,129881003.81741044
317,129788049.99608561
318,129696300.0780132
319,129605733.66531923
320,129516330.7144226
321,129428071.52980198
322,129340936.75787412
323,129254907.38098067
324,129169964.71148217
325,129086090.38595694
326,129003266.35950328
327,128921474.900143
328,128840698.58332396
329,128760920.28652124
330,128682123.18393317
331,128604290.74127239
332,128527406.71064907
333,128451455.12554501
334,128376420.29587716
335,128302286.8031485
336,128229039.49568522
337,128156663.48395824
338,128085144.135988
339,128014467.0728301
340,127944618.16414213
341,127875583.52382787
342,127807349.50575952
343,127739902.69957565
344,127673229.92655304
345,127607318.2355524
346,127542154.89903572
347,127477727.40915349
348,127414023.47390226
349,127351031.01334941
350,127288738.1559251
351,127227133.23477964
352,127166204.78420557
353,127105941.53612286
354,127046332.41662619
355,126987366.54259346
356,126929033.21835414
357,126871321.93241632
358,126814222.35425244
359,126757724.3311403
360,126701817.88506146
361,126646493.20965347
362,126591740.66721597
363,126537550.78577004
364,126483914.25616913
365,126430821.92926109
366,126378264.81310023
367,126326234.07020862
368,126274721.01488547
369,126223717.11056447
370,126173213.96721698
371,126123203.33880144
372,126073677.12075803
373,126024627.34754634
374,125976046.19022815
375,125927925.95409082
376,125880259.0763141
377,125833038.12367721
378,125786255.79030637
379,125739904.89546236
380,125693978.3813662
381,125648469.31106399
382,125603370.86632879
383,125558676.34559928
384,125514379.16195507
385,125470472.84112725
386,125426951.01954393
387,125383807.44241038
388,125341035.96182252
389,125298630.53491388
390,125256585.2220347
391,125214894.18496338
392,125173551.68514901
393,125132552.08198513
394,125091889.83111325
395,125051559.4827564
396,125011555.68008201
397,124971873.15759324
398,124932506.73954858
399,124893451.33840945
400,124854701.95331435
401,124816253.66858019
402,124778101.65223019
403,124740241.15454653
404,124702667.50664935
405,124665376.11910008
406,124628362.48052934
407,124591622.15628895
408,124555150.7871272
409,124518944.08788764
410,124482997.84623036
411,124447307.92137592
412,124411870.2428708
413,124376680.80937472
414,124341735.6874691
415,124307031.01048625
416,124272562.9773592
417,124238327.85149105
418,124204321.95964508
419,124170541.69085304
420,124136983.49534327
421,124103643.88348718
422,124070519.42476441
423,124037606.74674562
424,124004902.53409317
425,123972403.52757964
426,123940106.52312247
427,123908008.37083659
428,123876105.97410242
429,123844396.2886511
430,123812876.32166484
431,123781543.13089366
432,123750393.82378656
433,123719425.55663869
434,123688635.53375313
435,123658021.00661673
436,123627579.27309106
437,123597307.67661662
438,123567203.60543177
439,123537264.49180432
440,123507487.81127697
441,123477871.0819261
442,123448411.86363263
443,123419107.75736643
444,123389956.40448214
445,123360955.48602864
446,123332102.72206871
447,123303395.87101221
448,123274832.72895953
449,123246411.1290572
450,123218128.94086404
451,123189984.06972912
452,123161974.45617977
453,123134098.07532023
454,123106352.93624142
455,123078737.08143988
456,123051248.58624774
457,123023885.55827184
458,122996646.13684297
459,122969528.49247457
460,122942530.82633041
461,122915651.36970225
462,122888888.38349567
463,122862240.15772535
464,122835705.01101868
465,122809281.29012889
466,122782967.36945465
467,122756761.65057021
468,122730662.56176214
469,122704668.5575747
470,122678778.11836274
471,122652989.74985243
472,122627301.98271002
473,122601713.37211688
474,122576222.49735336
475,122550827.96138848
476,122525528.39047766
477,122500322.43376662
478,122475208.76290286
479,122450186.07165319
480,122425253.07552813
481,122400408.51141256
482,122375651.13720343
483,122350979.73145263
484,122326393.0930168
485,122301890.04071285
486,122277469.4129794
487,122253130.06754433
488,122228870.88109745
489,122204690.74896942
490,122180588.5848159
491,122156563.32030693
492,122132613.90482219
493,122108739.3051509
494,122084938.50519703
495,122061210.50569016
496,122037554.32390018
497,122013968.99335785
498,121990453.56357995
499,121967007.09979849
500,121943628.6826955
501,121920317.40814188
502,121897072.38694058
503,121873892.74457447
504,121850777.62095852
505,121827726.17019598
506,121804737.56033905
507,121781810.97315314
508,121758945.6038859
509,121736140.66103978
510,121713395.36614808
511,121690708.9535556
512,121668080.6702027
513,121645509.77541292
514,121622995.54068422
515,121600537.2494842
516,121578134.1970482
517,121555785.6901816
518,121533491.04706468
519,121511249.59706117
520,121489060.68053052
521,121466923.64864244
522,121444837.8631955
523,121422802.69643804
524,121400817.53089306
525,121378881.75918503
526,121356994.78387026
527,121335156.01727052
528,121313364.88130836
529,121291620.8073465
530,121269923.2360291
531,121248271.61712614
532,121226665.4093799
533,121205104.08035512
534,121183587.10629073
535,121162113.97195409
536,121140684.17049873
537,121119297.20332316
538,121097952.57993317
539,121076649.81780584
540,121055388.44225621
541,121034167.98630571
542,121012987.99055359
543,120991848.0030499
544,120970747.57917081
545,120949686.28149627
546,120928663.67968923
547,120907679.35037751
548,120886732.87703727
549,120865823.84987843
550,120844951.8657326
551,120824116.52794196
