epoch,cost
185,2708020834.4752254
186,2708020834.475225
187,2708020834.4752254
188,2708020834.475225
189,2708020834.4752254
190,2708020834.475225
191,2708020834.4752254
192,2708020834.475225
193,2708020834.4752254
194,2708020834.475225
195,2708020834.4752254
196,2708020834.475225
197,2708020834.4752254
198,2708020834.475225
199,2708020834.4752254
200,2708020834.475225
201,2708020834.4752254
202,2708020834.475225
203,2708020834.4752254
204,2708020834.475225
205,2708020834.4752254
206,2708020834.475225
207,2708020834.4752254
208,2708020834.475225
209,2708020834.4752254
210,2708020834.475225
211,2708020834.4752254
212,2708020834.475225
213,2708020834.4752254
214,2708020834.475225
215,2708020834.4752254
216,2708020834.475225
217,2708020834.4752254
218,2708020834.475225
219,2708020834.4752254
220,2708020834.475225
221,2708020834.4752254
222,2708020834.475225
223,2708020834.4752254
224,2708020834.475225
225,2708020834.4752254
226,2708020834.475225
227,2708020834.4752254
228,2708020834.475225
229,2708020834.4752254
230,2708020834.475225
231,2708020834.4752254
232,2708020834.475225
233,2708020834.4752254
234,2708020834.475225
235,2708020834.4752254
236,2708020834.475225
237,2708020834.4752254
238,2708020834.475225
239,2708020834.4752254
240,2708020834.475225
241,2708020834.4752254
242,2708020834.475225
243,2708020834.4752254
244,2708020834.475225
245,2708020834.4752254
246,2708020834.475225
247,2708020834.4752254
248,2708020834.475225
249,2708020834.4752254
250,2708020834.475225
251,2708020834.4752254
252,2708020834.475225
253,2708020834.4752254
254,2708020834.475225
255,2708020834.4752254
256,2708020834.475225
257,2708020834.4752254
258,2708020834.475225
259,2708020834.4752254
260,2708020834.475225
261,2708020834.4752254
262,2708020834.475225
263,2708020834.4752254
264,2708020834.475225
265,2708020834.4752254
266,2708020834.475225
267,2708020834.4752254
268,2708020834.475225
269,2708020834.4752254
270,2708020834.475225
271,2708020834.4752254
272,2708020834.475225
273,2708020834.4752254
274,2708020834.475225
275,2708020834.4752254
276,2708020834.475225
277,2708020834.4752254
278,2708020834.475225
279,2708020834.4752254
280,2708020834.475225
281,2708020834.4752254
282,2708020834.475225
283,2708020834.4752254
284,2708020834.475225
285,2708020834.4752254
286,2708020834.475225
287,2708020834.4752254
288,2708020834.475225
289,2708020834.4752254
290,2708020834.475225
291,2708020834.4752254
292,2708020834.475225
293,2708020834.4752254
294,2708020834.475225
295,2708020834.4752254
296,2708020834.475225
297,2708020834.4752254
298,2708020834.475225
299,2708020834.4752254
300,2708020834.475225
301,2708020834.4752254
302,2708020834.475225
303,2708020834.4752254
304,2708020834.475225
305,2708020834.4752254
306,2708020834.475225
307,2708020834.4752254
308,2708020834.475225
309,2708020834.4752254
310,2708020834.475225
311,2708020834.4752254
312,2708020834.475225
313,2708020834.4752254
314,2708020834.475225
315,2708020834.4752254
316,2708020834.475225
317,2708020834.4752254
318,2708020834.475225
319,2708020834.4752254
320,2708020834.475225
321,2708020834.4752254
322,2708020834.475225
323,2708020834.4752254
324,2708020834.475225
325,2708020834.4752254
326,2708020834.475225
327,2708020834.4752254
328,2708020834.475225
329,2708020834.4752254
330,2708020834.475225
331,2708020834.4752254
332,2708020834.475225
333,2708020834.4752254
334,2708020834.475225
335,2708020834.4752254
336,2708020834.475225
337,2708020834.4752254
338,2708020834.475225
339,2708020834.4752254
340,2708020834.475225
341,2708020834.4752254
342,2708020834.475225
343,2708020834.4752254
344,2708020834.475225
345,2708020834.4752254
346,2708020834.475225
347,2708020834.4752254
348,2708020834.475225
349,2708020834.4752254
350,2708020834.475225
351,2708020834.4752254
352,2708020834.475225
353,2708020834.4752254
354,2708020834.475225
355,2708020834.4752254
356,2708020834.475225
357,2708020834.4752254
358,2708020834.475225
359,2708020834.4752254
360,2708020834.475225
361,2708020834.4752254
362,2708020834.475225
363,2708020834.4752254
364,2708020834.475225
365,2708020834.4752254
366,2708020834.475225
367,2708020834.4752254
368,2708020834.475225
369,2708020834.4752254
370,2708020834.475225
371,2708020834.4752254
372,2708020834.475225
373,2708020834.4752254
374,2708020834.475225
375,2708020834.4752254
376,2708020834.475225
377,2708020834.4752254
378,2708020834.475225
379,2708020834.4752254
380,2708020834.475225
381,2708020834.4752254
382,2708020834.475225
383,2708020834.4752254
384,2708020834.475225
385,2708020834.4752254
386,2708020834.475225
387,2708020834.4752254
388,2708020834.475225
389,2708020834.4752254
390,2708020834.475225
391,2708020834.4752254
392,2708020834.475225
393,2708020834.4752254
394,2708020834.475225
395,2708020834.4752254
396,2708020834.475225
397,2708020834.4752254
398,2708020834.475225
399,2708020834.4752254
400,2708020834.475225
401,2708020834.4752254
402,2708020834.475225
403,2708020834.4752254
404,2708020834.475225
405,2708020834.4752254
406,2708020834.475225
407,2708020834.4752254
408,2708020834.475225
409,2708020834.4752254
410,2708020834.475225
411,2708020834.4752254
412,2708020834.475225
413,2708020834.4752254
414,2708020834.475225
415,2708020834.4752254
416,2708020834.475225
417,2708020834.4752254
418,2708020834.475225
419,2708020834.4752254
420,2708020834.475225
421,2708020834.4752254
422,2708020834.475225
423,2708020834.4752254
424,2708020834.475225
425,2708020834.4752254
426,2708020834.475225
427,2708020834.4752254
428,2708020834.475225
429,2708020834.4752254
430,2708020834.475225
431,2708020834.4752254
432,2708020834.475225
433,2708020834.4752254
434,2708020834.475225
435,2708020834.4752254
436,2708020834.475225
437,2708020834.4752254
438,2708020834.475225
439,2708020834.4752254
440,2708020834.475225
441,2708020834.4752254
442,2708020834.475225
443,2708020834.4752254
444,2708020834.475225
445,2708020834.4752254
446,2708020834.475225
447,2708020834.4752254
448,2708020834.475225
449,2708020834.4752254
450,2708020834.475225
451,2708020834.4752254
452,2708020834.475225
453,2708020834.4752254
454,2708020834.475225
455,2708020834.4752254
456,2708020834.475225
457,2708020834.4752254
458,2708020834.475225
459,2708020834.4752254
460,2708020834.475225
461,2708020834.4752254
462,2708020834.475225
463,2708020834.4752254
464,2708020834.475225
465,2708020834.4752254
466,2708020834.475225
467,2708020834.4752254
