model,intercept,sw_radiation,temp_2m,cloud_cover,sin_hour,cos_hour
B normal,6890.5659599771025,6557.735730862883,-207.46554271021296,222.81690486090454,374.0609413680928,-1899.2091783980422
B batch_gd,6890.565959977095,6557.735720873817,-207.46553909478908,222.8169051266234,374.0609438396069,-1899.2091861711608
B sgd,7042.075779667559,6904.781024791872,-586.1359213783933,874.1294150911148,548.1389855901796,-2477.8926207146683
