epoch,cost
110,93394329.56840166
111,93388014.9350928
112,93381975.42745478
113,93376197.63653184
114,93370668.87371404
115,93365377.12923242
116,93360311.03315139
117,93355459.8187061
118,93350813.28783925
119,93346361.778803
120,93342096.13569589
121,93338007.67982101
122,93334088.18274765
123,93330329.84097645
124,93326725.25210744
125,93323267.3924194
126,93319949.59577452
127,93316765.53376734
128,93313709.1970417
129,93310774.87770511
130,93307957.15277249
131,93305250.86857933
132,93302651.12610145
133,93300153.26713094
134,93297752.86125264
135,93295445.69357438
136,93293227.75316627
137,93291095.22216529
138,93289044.46550366
139,93287072.0212288
140,93285174.59137112
141,93283349.03333569
142,93281592.35177958
143,93279901.69095013
144,93278274.32745428
145,93276707.66343491
146,93275199.2201297
147,93273746.63178816
148,93272347.63992873
149,93271000.08791342
150,93269701.91582243
151,93268451.15561098
152,93267245.92653143
153,93266084.43080592
154,93264964.94953474
155,93263885.83882496
156,93262845.52613108
157,93261842.50678937
158,93260875.34073968
159,93259942.64942202
160,93259043.11283673
161,93258175.46676195
162,93257338.50011615
163,93256531.05245951
164,93255752.0116255
165,93255000.31147592
166,93254274.92977165
167,93253574.8861526
168,93252899.24022219
169,93252247.08972885
170,93251617.56883949
171,93251009.84650081
172,93250423.12488198
173,93249856.6378968
174,93249309.64979725
175,93248781.45383906
176,93248271.37101008
177,93247778.74882343
178,93247302.96016859
179,93246843.4022175
180,93246399.49538445
181,93245970.6823353
182,93245556.42704354
183,93245156.21389246
184,93244769.54681829
185,93244395.94849396
186,93244034.95955186
187,93243686.13784091
188,93243349.05771963
189,93243023.3093809
190,93242708.4982077
191,93242404.24415736
192,93242110.18117528
193,93241825.95663337
194,93241551.23079465
195,93241285.67630039
196,93241028.97768196
197,93240780.83089174
198,93240540.94285618
199,93240309.03104803
200,93240084.82307637
201,93239868.0562948
202,93239658.4774267
203,93239455.84220542
204,93239259.91503084
205,93239070.46863972
206,93238887.28378977
207,93238710.1489575
208,93238538.86004812
209,93238373.22011702
210,93238213.03910367
211,93238058.13357583
212,93237908.32648407
213,93237763.44692619
214,93237623.32992125
215,93237487.81619313
216,93237356.75196138
217,93237229.98874195
218,93237107.38315484
219,93236988.79673916
220,93236874.09577669
221,93236763.15111999
222,93236655.83802998
223,93236552.03601737
224,93236451.62869202
225,93236354.50361663
226,93236260.55216669
227,93236169.66939649
228,93236081.7539077
229,93235996.7077268
230,93235914.43618292
231,93235834.84779365
232,93235757.85415272
233,93235683.36982328
234,93235611.3122347
235,93235541.60158275
236,93235474.16073434
237,93235408.91513483
238,93235345.79271923
239,93235284.72382641
240,93235225.64111699
241,93235168.47949292
242,93235113.17602162
243,93235059.66986148
244,93235007.90219066
245,93234957.81613828
246,93234909.35671797
247,93234862.47076447
248,93234817.10687119
249,93234773.21533109
250,93234730.74807903
251,93234689.65863663
252,93234649.90205851
253,93234611.43488093
254,93234574.2150717
255,93234538.2019826
256,93234503.35630244
257,93234469.6400127
258,93234437.01634352
259,93234405.44973326
260,93234374.90578729
261,93234345.35123909
262,93234316.75391272
263,93234289.08268675
264,93234262.30745924
265,93234236.39911352
266,93234211.32948564
267,93234187.07133296
268,93234163.59830351
269,93234140.88490628
270,93234118.90648319
271,93234097.63918138
272,93234077.0599262
273,93234057.14639606
274,93234037.87699766
275,93234019.23084149
276,93234001.18771909
277,93233983.72808011
278,93233966.83301155
279,93233950.48421586
280,93233934.66399138
281,93233919.3552121
282,93233904.54131001
283,93233890.20625536
284,93233876.33453959
285,93233862.91115889
286,93233849.92159632
287,93233837.35180745
288,93233825.18820338
289,93233813.41763718
290,93233802.02738829
291,93233791.00514953
292,93233780.33901297
293,93233770.01745723
294,93233760.02933459
295,93233750.36385906
296,93233741.01059462
297,93233731.95944335
298,93233723.20063502
299,93233714.72471613
300,93233706.52253933
301,93233698.58525388
302,93233690.90429598
303,93233683.47137891
304,93233676.27848496
305,93233669.31785536
306,93233662.58198327
307,93233656.06360444
308,93233649.75569032
309,93233643.65143958
310,93233637.74427073
311,93233632.02781612
312,93233626.49591364
313,93233621.14260049
314,93233615.96210696
315,93233610.94885014
316,93233606.0974277
317,93233601.40261166
318,93233596.85934381
319,93233592.462729
320,93233588.2080305
321,93233584.0906649
322,93233580.10619687
323,93233576.25033453
324,93233572.51892467
325,93233568.90794829
326,93233565.41351676
327,93233562.03186652
328,93233558.75935584
329,93233555.59246118
330,93233552.5277719
331,93233549.5619885
332,93233546.69191773
333,93233543.9144694
334,93233541.22665335
335,93233538.62557584
336,93233536.10843696
337,93233533.6725268
338,93233531.31522332
339,93233529.03398909
340,93233526.8263685
341,93233524.68998554
342,93233522.62254076
343,93233520.6218088
344,93233518.6856366
345,93233516.81194037
346,93233514.99870344
347,93233513.24397461
348,93233511.54586548
349,93233509.90254873
350,93233508.31225607
351,93233506.77327608
352,93233505.28395268
353,93233503.84268357
354,93233502.44791779
355,93233501.09815468
356,93233499.7919418
357,93233498.52787387
358,93233497.30459084
359,93233496.12077656
360,93233494.97515714
361,93233493.86650059
362,93233492.79361376
363,93233491.75534248
364,93233490.7505697
365,93233489.77821465
366,93233488.8372311
367,93233487.92660673
368,93233487.04536225
369,93233486.1925494
370,93233485.36725079
371,93233484.56857869
372,93233483.7956739
373,93233483.04770498
374,93233482.3238674
375,93233481.62338266
376,93233480.94549707
377,93233480.28948171
378,93233479.65463063
379,93233479.04026125
380,93233478.44571248
381,93233477.87034507
382,93233477.31354004
383,93233476.77469826
384,93233476.25324056
385,93233475.74860582
386,93233475.2602513
387,93233474.78765176
388,93233474.33029899
389,93233473.88770089
390,93233473.45938146
391,93233473.04488014
392,93233472.64375113
393,93233472.25556296
394,93233471.879898
395,93233471.51635242
396,93233471.16453509
397,93233470.82406744
398,93233470.49458373
399,93233470.17572933
400,93233469.86716157
401,93233469.56854822
402,93233469.2795683
403,93233468.999911
404,93233468.7292755
405,93233468.46737087
406,93233468.21391544
407,93233467.96863636
408,93233467.7312703
409,93233467.50156155
410,93233467.27926336
411,93233467.06413653
412,93233466.85594974
413,93233466.65447912
414,93233466.4595079
415,93233466.2708264
416,93233466.0882319
417,93233465.91152793
418,93233465.74052428
419,93233465.57503733
420,93233465.41488889
421,93233465.2599067
422,93233465.10992447
423,93233464.96478075
424,93233464.82431903
425,93233464.68838869
426,93233464.55684346
427,93233464.42954181
428,93233464.30634697
429,93233464.18712635
430,93233464.07175167
431,93233463.96009906
432,93233463.85204828
433,93233463.74748312
434,93233463.64629132
435,93233463.54836378
436,93233463.45359546
437,93233463.36188431
438,93233463.2731317
439,93233463.18724222
440,93233463.10412359
441,93233463.02368613
442,93233462.94584377
443,93233462.8705124
444,93233462.79761127
445,93233462.72706197
446,93233462.65878844
447,93233462.5927175
448,93233462.5287777
449,93233462.46690084
450,93233462.40701993
451,93233462.34907092
452,93233462.29299112
453,93233462.23872057
454,93233462.18620068
455,93233462.1353751
456,93233462.08618915
457,93233462.03858984
458,93233461.99252601
459,93233461.94794829
460,93233461.90480864
461,93233461.86306055
462,93233461.82265933
463,93233461.7835613
464,93233461.74572472
465,93233461.7091085
466,93233461.6736736
467,93233461.63938205
468,93233461.6061963
469,93233461.57408138
470,93233461.54300235
471,93233461.51292598
472,93233461.48381986
473,93233461.45565264
474,93233461.42839412
475,93233461.40201485
476,93233461.37648675
477,93233461.35178186
478,93233461.32787415
479,93233461.30473773
480,93233461.28234752
481,93233461.26067962
482,93233461.23971084
483,93233461.21941835
484,93233461.19978052
485,93233461.18077621
486,93233461.16238506
487,93233461.14458704
488,93233461.1273633
489,93233461.11069512
490,93233461.09456453
491,93233461.07895458
492,93233461.06384805
493,93233461.04922885
494,93233461.03508121
495,93233461.02138992
496,93233461.00814046
497,93233460.99531825
498,93233460.98290978
499,93233460.9709016
500,93233460.95928076
501,93233460.94803476
502,93233460.93715166
503,93233460.92661951
504,93233460.91642728
505,93233460.90656367
506,93233460.8970185
507,93233460.88778104
508,93233460.87884155
509,93233460.87019059
510,93233460.86181855
511,93233460.85371663
512,93233460.84587622
513,93233460.8382886
514,93233460.83094573
515,93233460.82383977
516,93233460.81696297
517,93233460.81030816
518,93233460.80386792
519,93233460.79763556
520,93233460.79160413
521,93233460.78576732
522,93233460.7801187
523,93233460.77465245
524,93233460.76936248
525,93233460.76424317
526,93233460.75928904
527,93233460.75449459
528,93233460.74985492
529,93233460.74536486
530,93233460.74101967
531,93233460.73681483
532,93233460.73274538
533,93233460.72880729
534,93233460.72499634
535,93233460.7213082
536,93233460.717739
537,93233460.71428508
538,93233460.71094248
539,93233460.70770776
540,93233460.70457743
541,93233460.70154792
542,93233460.69861619
543,93233460.69577914
544,93233460.69303358
545,93233460.69037661
546,93233460.68780519
547,93233460.68531688
