feature,normal,batch_gd,sgd,abs_diff_batch_vs_normal,abs_diff_sgd_vs_normal
intercept,6890.565959977099,6890.565959977094,6882.301314945285,4.547473508864641e-12,8.264645031813416
irradiation,8345.043876833455,8345.043869375728,8256.736178774136,7.45772740629036e-06,88.30769805931959
module_temp,-108.1208355889903,-108.12082559010318,14.046725877106555,9.99888712271968e-06,122.16756146609686
ambient_temp,-17.16187289925915,-17.16187601017626,5.746124266672332,3.1109171096943555e-06,22.907997165931484
sin_hour,-47.37639361196921,-47.37639370784678,-53.8518069451918,9.587756721884944e-08,6.475413333222583
cos_hour,-416.5578146662018,-416.557814619689,-394.7762652902167,4.651280960388249e-08,21.781549375985094
