public_timestamp_shift_hours,paired_daytime_training_hours,daytime_correlation,daytime_radiation_mae_w_m2
-3,372,0.35115225952627704,304.65530134185906
-2,372,0.6347187540006988,220.2451572271563
-1,372,0.840160987494823,130.99179317916557
0,372,0.8874865332304264,102.80011458776374
1,372,0.7633881467645998,172.8572042198089
2,372,0.5186681647495464,256.56730224645264
3,372,0.24300972629879888,334.41065368063084
