model,intercept,irradiation,module_temp,ambient_temp,sin_hour,cos_hour
A normal,6890.565959977099,8345.043876833455,-108.1208355889903,-17.16187289925915,-47.37639361196921,-416.5578146662018
A batch_gd,6890.565959977094,8345.043869375728,-108.12082559010318,-17.16187601017626,-47.37639370784678,-416.557814619689
A sgd,6882.301314945285,8256.736178774136,14.046725877106555,5.746124266672332,-53.8518069451918,-394.7762652902167
