feature,normal,batch_gd,sgd,abs_diff_batch_vs_normal,abs_diff_sgd_vs_normal
intercept,6890.5659599771025,6890.565959977095,7042.075779667559,7.275957614183426e-12,151.50981969045642
sw_radiation,6557.735730862883,6557.735720873817,6904.781024791872,9.98906671156874e-06,347.04529392898894
temp_2m,-207.46554271021296,-207.46553909478908,-586.1359213783933,3.6154238785002235e-06,378.6703786681803
cloud_cover,222.81690486090454,222.8169051266234,874.1294150911148,2.6571885314297106e-07,651.3125102302103
sin_hour,374.0609413680928,374.0609438396069,548.1389855901796,2.471514108037809e-06,174.07804422208676
cos_hour,-1899.2091783980422,-1899.2091861711608,-2477.8926207146683,7.773118568366044e-06,578.683442316626
