iteration,cost
101,2466770642.1794953
102,2465044667.8627334
103,2463343512.292605
104,2461666773.8640056
105,2460014062.8137975
106,2458385000.301536
107,2456779217.595049
108,2455196355.3481584
109,2453636062.9593744
110,2452097998.0017676
111,2450581825.7154074
112,2449087218.5548344
113,2447613855.7849264
114,2446161423.119344
115,2444729612.396463
116,2443318121.2882814
117,2441926653.0384007
118,2440554916.225592
119,2439202624.5499363
120,2437869496.638855
121,2436555255.8707056
122,2435259630.2138743
123,2433982352.079564
124,2432723158.186689
125,2431481789.43749
126,2430257990.802626
127,2429051511.214691
128,2427862103.469182
129,2426689524.132111
130,2425533533.453516
131,2424393895.2862186
132,2423270377.0092907
133,2422162749.4557033
134,2421070786.843729
135,2419994266.711723
136,2418932969.855924
137,2417886680.27099
138,2416855185.092997
139,2415838274.5446734
140,2414835741.882662
141,2413847383.346625
142,2412872998.110038
143,2411912388.2325315
144,2410965358.613648
145,2410031716.9479074
146,2409111273.6810884
147,2408203841.967629
148,2407309237.629078
149,2406427279.113515
150,2405557787.4559016
151,2404700586.2392774
152,2403855501.5567837
153,2403022361.9744487
154,2402200998.494704
155,2401391244.5205984
156,2400592935.8206763
157,2399805910.4944906
158,2399030008.938718
159,2398265073.8138742
160,2397510950.011584
161,2396767484.6224008
162,2396034526.904149
163,2395311928.250789
164,2394599542.161767
165,2393897224.211852
166,2393204832.0214496
167,2392522225.2273626
168,2391849265.4540057
169,2391185816.285058
170,2390531743.2355366
171,2389886913.724297
172,2389251197.046935
173,2388624464.3490915
174,2388006588.600154
175,2387397444.5673404
176,2386796908.7901654
177,2386204859.555272
178,2385621176.8716373
179,2385045742.4461355
180,2384478439.659442
181,2383919153.542306
182,2383367770.7521467
183,2382824179.5499964
184,2382288269.77777
185,2381759932.8358545
186,2381239061.661035
187,2380725550.704721
188,2380219295.9114914
189,2379720194.6979365
190,2379228145.931824
191,2378743049.911526
192,2378264808.3457775
193,2377793324.333691
194,2377328502.3450775
195,2376870248.201036
196,2376418469.0548177
197,2375973073.372974
198,2375533970.916754
199,2375101072.7237835
200,2374674291.089995
201,2374253539.5518117
202,2373838732.8685946
203,2373429787.005327
204,2373026619.115548
205,2372629147.5245414
206,2372237291.712733
207,2371850972.299357
208,2371470111.026331
209,2371094630.742368
210,2370724455.3873143
211,2370359509.976705
212,2369999720.58654
213,2369645014.3382816
214,2369295319.3840523
215,2368950564.892055
216,2368610681.032194
217,2368275598.961896
218,2367945250.8121376
219,2367619569.6736736
220,2367298489.5834484
221,2366981945.5112095
222,2366669873.3463116
223,2366362209.884701
224,2366058892.816087
225,2365759860.7112985
226,2365465053.0098143
227,2365174410.0074725
228,2364887872.8443527
229,2364605383.492836
230,2364326884.7458224
231,2364052320.2051244
232,2363781634.2700224
233,2363514772.125982
234,2363251679.733529
235,2362992303.817287
236,2362736591.8551617
237,2362484492.0676894
238,2362235953.407529
239,2361990925.5491004
240,2361749358.8783774
241,2361511204.4828234
242,2361276414.1414566
243,2361044940.315083
244,2360816736.1366353
245,2360591755.401675
246,2360369952.5590158
247,2360151282.701479
248,2359935701.5567875
249,2359723165.4785833
250,2359513631.4375715
251,2359307057.0127935
252,2359103400.3830204
253,2358902620.3182716
254,2358704676.1714463
255,2358509527.8700843
256,2358317135.9082346
257,2358127461.338442
258,2357940465.763848
259,2357756111.3304033
260,2357574360.719188
261,2357395177.1388454
262,2357218524.3181148
263,2357044366.498482
264,2356872668.4269223
265,2356703395.3487506
266,2356536513.000576
267,2356371987.60335
268,2356209785.8555193
269,2356049874.9262695
270,2355892222.448868
271,2355736796.5141006
272,2355583565.6638017
273,2355432498.8844743
274,2355283565.6010013
275,2355136735.670444
276,2354991979.375934
277,2354849267.4206414
278,2354708570.9218416
279,2354569861.4050527
280,2354433110.7982674
281,2354298291.426255
282,2354165376.004958
283,2354034337.6359525
284,2353905149.801
285,2353777786.35667
286,2353652221.529035
287,2353528429.9084554
288,2353406386.4444184
289,2353286066.4404626
290,2353167445.5491734
291,2353050499.7672462
292,2352935205.4306183
293,2352821539.2096753
294,2352709478.1045194
295,2352598999.44031
296,2352490080.8626595
297,2352382700.3331146
298,2352276836.124679
299,2352172466.817413
300,2352069571.294091
301,2351968128.7359257
302,2351868118.6183395
303,2351769520.7068114
304,2351672315.052777
305,2351576481.989576
306,2351482002.128481
307,2351388856.3547525
308,2351297025.8237762
309,2351206491.957239
310,2351117236.439364
311,2351029241.2132
312,2350942488.4769616
313,2350856960.6804237
314,2350772640.5213575
315,2350689510.942035
316,2350607555.125765
317,2350526756.493488
318,2350447098.7004137
319,2350368565.6327147
320,2350291141.4042583
321,2350214810.353384
322,2350139557.0397363
323,2350065366.241132
324,2349992222.950477
325,2349920112.3727274
326,2349849019.9218884
327,2349778931.218062
328,2349709832.0845304
329,2349641708.544892
330,2349574546.8202147
331,2349508333.32626
332,2349443054.6707215
333,2349378697.6505156
334,2349315249.2491026
335,2349252696.633857
336,2349191027.1534605
337,2349130228.3353424
338,2349070287.883156
339,2349011193.6742764
340,2348952933.757363
341,2348895496.3499193
342,2348838869.8359227
343,2348783042.7634583
344,2348728003.842407
345,2348673741.942159
346,2348620246.0893517
347,2348567505.4656568
348,2348515509.4055834
349,2348464247.3943167
350,2348413709.0655923
351,2348363884.199594
352,2348314762.720887
353,2348266334.6963716
354,2348218590.3332767
355,2348171519.9771743
356,2348125114.110025
357,2348079363.3482475
358,2348034258.440826
359,2347989790.2674265
360,2347945949.8365574
361,2347902728.2837434
362,2347860116.8697367
363,2347818106.9787393
364,2347776690.1166663
365,2347735857.9094195
366,2347695602.1011953
367,2347655914.5528126
368,2347616787.2400613
369,2347578212.2520833
370,2347540181.7897663
371,2347502688.1641636
372,2347465723.7949433
373,2347429281.2088485
374,2347393353.0381823
375,2347357932.0193224
376,2347323010.9912457
377,2347288582.8940816
378,2347254640.7676764
379,2347221177.750194
380,2347188187.076716
381,2347155662.077882
382,2347123596.178532
383,2347091982.896378
384,2347060815.8406916
385,2347030088.7110124
386,2346999795.2958665
387,2346969929.471517
388,2346940485.200716
389,2346911456.53149
390,2346882837.5959306
391,2346854622.609007
392,2346826805.867397
393,2346799381.7483287
394,2346772344.7084494
395,2346745689.2826934
396,2346719410.083185
397,2346693501.798144
398,2346667959.1908097
399,2346642777.09838
