hour,count,mean,std,min,max
0,7,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0
3,7,0.0,0.0,0.0,0.0
4,7,-53.781504152452825,10.609464492129757,-65.7303767179776,-39.5809315691879
5,7,-191.6679779680283,10.988233382859704,-205.01912005629663,-176.10493051025776
6,7,-308.86508383111726,112.37586753579015,-552.216647327831,-206.97766878960374
7,7,-90.20312311729074,360.8943802065184,-860.9741023109609,204.00681292257377
8,7,463.3419758641725,140.36739585408006,188.3489205133592,589.5195000906369
9,7,784.3521746209024,336.2255664452015,165.10697474497647,1106.3198273539747
10,7,1131.6714854794152,361.0925767411196,389.45117313598894,1460.256850651982
11,7,731.8867886436963,575.3689937717334,212.32807643999695,1712.8120987102338
12,7,505.38866470568144,497.0922281088771,-31.589839950280293,1295.4427411987035
13,7,676.4789172595863,681.0616300047562,-697.8904998324688,1256.356067868841
14,7,594.9841563823177,1048.0834749955836,-1719.7563485667342,1292.9765143063232
15,7,665.4689139388232,354.63363462230313,-7.350243960322587,1115.960299775359
16,7,249.57741621537076,138.41862698467227,51.43805267291373,458.87942015770477
17,7,-194.54865167783586,81.33550540988551,-278.2275063905563,-60.0843075807752
18,7,-404.9425972327307,24.87394771462646,-441.184363259881,-377.4282170054855
19,7,-291.2894397191327,6.8025990346872405,-302.8266504072505,-284.7375103787251
20,7,-149.5707896862428,7.3460096043812175,-160.36571178813313,-140.49641283372068
21,7,-20.42617430300492,8.460503201573847,-29.1299386683566,-6.311202828699436
22,7,0.0,0.0,0.0,0.0
23,7,0.0,0.0,0.0,0.0
