step,alpha_1e-05,alpha_0.0001,alpha_0.001
65,9216162380.515303,461704037.8693279,1.4736091966673129e+22
66,9076463262.406214,455505601.9788123,2.242221894043426e+22
67,8940055889.297773,449459538.37294674,3.4117315727249298e+22
68,8806830562.37106,443557962.7969807,5.1912401512313035e+22
69,8676681976.665749,437793761.2382196,7.898914006951613e+22
70,8549509032.737849,432160499.23935443,1.2018870380022313e+23
71,8425214656.563674,426652342.24776554,1.8287734881611366e+23
72,8303705627.326688,421263985.6498861,2.7826346114524336e+23
73,8184892412.7399845,415990593.3053661,4.234015547020426e+23
74,8068689011.572447,410827743.541111,6.44241524871047e+23
75,7955012803.061273,405771381.69274133,9.802683475270891e+23
76,7843784402.907568,400817778.39286023,1.4915617762388583e+24
77,7734927525.565144,395963492.90362084,2.2695382728098744e+24
78,7628368852.545337,391205340.87715805,3.4532957694431936e+24
79,7524037906.473011,386540366.0029623,5.254483616392085e+24
80,7421866930.640548,381965815.0675213,7.995144325382989e+24
81,7321790773.817772,377479116.00968117,1.2165293005061277e+25
82,7223746780.086505,373077858.60618,1.8510529375828825e+25
83,7127674683.47858,368759777.4665496,2.816534691197898e+25
84,7033516507.205975,364522737.0558437,4.285597405485348e+25
85,6941216467.280983,360364718.4981039,6.52090143938237e+25
86,6850720880.333301,356283807.94370174,9.922106898728482e+25
87,6761978075.439434,352278186.3102164,1.5097330671987575e+26
88,6674938309.787905,348346120.22979593,2.2971874395804584e+26
89,6589553688.011635,344485954.05635744,3.495366331451948e+26
90,6505778085.026227,340696102.8039274,5.3184975594674087e+26
91,6423567072.220012,336975045.9031317,8.092546991579797e+26
92,6342877846.848556,333321321.6766671,1.2313499457069473e+27
93,6263669164.49276,329733522.4466864,1.8736038114701264e+27
94,6185901274.445978,326210290.1976741,2.850847766383735e+27
95,6109535857.901421,322750312.7277075,4.337807671685943e+27
96,6034535968.816865,319352320.22920054,6.600343805943035e+27
97,5960865977.339092,316015082.24740183,1.0042985225234456e+28
98,5888491515.675626,312737404.9712429,1.5281257340482848e+28
99,5817379426.306362,309518128.81665224,2.325173448620794e+28
100,5747497712.432364,306356126.267325,3.537949427661618e+28
101,5678815490.563657,303250299.94219726,5.383291366979883e+28
102,5611302945.152164,300199580.8626196,8.19113628793562e+28
103,5544931285.180096,297202926.8955111,1.2463511467925068e+29
104,5479672702.617995,294259321.3516626,1.8964294165132128e+29
105,5415500332.670515,291367771.7208876,2.8855788684209268e+29
106,5352388215.731527,288527308.5279453,4.390654001342523e+29
107,5290311260.973659,285736984.2951091,6.680753997222918e+29
108,5229245211.5006695,282995872.5989731,1.0165336179476408e+30
109,5169166610.994193,280303067.21058494,1.5467424737496145e+30
110,5110052771.789422,277657681.30932343,2.3535004035885246e+30
111,5051881744.317165,275058846.7620919,3.5810513021368014e+30
112,4994632287.852522,272505713.4604194,5.448874539805587e+30
113,4938283842.512949,269997448.7089575,8.290926670842573e+30
114,4882816502.451125,267533236.65964052,1.2615351034259868e+31
115,4828210990.190358,265112277.78647107,1.919533099687011e+31
116,4774448632.05259,262733788.39649674,2.920733090016785e+31
117,4721511334.631269,260397000.1730728,4.4441441434429865e+31
118,4669381562.26346,258101159.74797687,6.762143803967066e+31
119,4618042315.457543,255845528.29934746,1.0289177702077122e+32
120,4567477110.234815,253629381.17278308,1.565586016121296e+32
121,4517669958.3451185,251452007.5232484,2.38217245813506e+32
122,4468605348.318371,249312709.97571924,3.6246782750118624e+32
123,4420268227.315568,247210804.30273685,5.515256694567193e+32
124,4372643983.744417,245145619.1172583,8.391932772811036e+32
125,4325718430.606312,243116495.57937944,1.2769040420684623e+33
126,4279477789.5427856,241122787.11566982,1.942918248741661e+33
127,4233908675.551035,239163859.15000835,2.956315585921661e+33
128,4188998082.339383,237239088.84493107,4.498285941379009e+33
129,4144733368.2949033,235347864.85262132,6.844525160563904e+33
130,4101102243.0365634,233489587.07476625,1.0414527952224978e+34
131,4058092754.5284963,231663666.4305922,1.5846591242384962e+34
132,4015693276.7290716,229869524.63247076,2.4111938165145842e+34
133,3973892497.752533,228106593.9685493,3.668836743417611e+34
134,3932679408.520975,226374317.0919238,5.582447565044058e+34
135,3892043291.885427,224672146.81592208,8.494169404615311e+34
136,3851973712.195716,222999545.91510993,1.2924602163053795e+35
137,3812460505.2997065,221355986.93167678,1.96658829269935e+35
138,3773493768.953343,219740951.9868887,2.992331573684855e+35
139,3735063853.6237397,218153932.5973323,4.553087334096199e+35
140,3697161353.6683583,216594429.4956973,6.927910146795295e+35
141,3659777098.874024,215061952.45587242,1.0541405310336873e+36
142,3622902146.340301,213556020.12214807,1.6039645948381817e+36
143,3586527772.6923385,212076159.84234217,2.4405687342005798e+36
144,3550645466.609064,210621907.50467932,3.7135331824193643e+36
145,3515246921.6531034,209192807.3782685,5.650457003599521e+36
146,3480324029.3895116,207788411.95703945,8.597651557465286e+36
147,3445868872.7808642,206408281.8070085,1.3082059071769972e+37
148,3411873719.846893,205051985.41675445,1.990546702357098e+37
149,3378331017.5773115,203719099.05099496,3.0287863344196247e+37
150,3345233386.0869746,202409206.6071634,4.608556357258161e+37
151,3312573613.0030413,201121899.47488898,7.012310989607783e+37
152,3280344648.0741873,199856776.398296,1.066982838075328e+38
153,3248539597.9924183,198613443.34103745,1.6235052587292031e+38
154,3217151721.4184055,197391513.3539887,2.4703015185097956e+38
155,3186174424.201668,196190606.4455258,3.758774145966394e+38
156,3155601254.787335,195010349.45432484,5.719294982625564e+38
157,3125425899.801531,193850375.92461365,8.702394405204684e+38
158,3095642179.8078218,192710325.9838191,1.3241434235128661e+39
159,3066244045.2274694,191589846.22254783,2.0147969907957012e+39
160,3037225572.416551,190488589.57685006,3.0656852135775986e+39
161,3008580959.8933225,189406215.21270952,4.664701144424792e+39
162,2980304524.709464,188342388.41271272,7.09774006490545e+39
163,2952390698.959175,187296780.4648461,1.079981599446629e+40
164,2924834026.420281,186269068.55337718,1.6432839812073827e+40
165,2897629159.3218217,185258935.6517745,2.5003965292338616e+40
166,2870770855.2328153,184266070.41762224,3.804566267852973e+40
167,2844253974.0671043,183290167.08948848,5.788971596005157e+40
168,2818073475.1994486,182330925.38570806,8.808413306536096e+40
169,2792224414.6882005,181388050.40503922,1.3402751022703925e+41
170,2766701942.6001344,180461252.5291573,2.0393427138948822e+41
171,2741501300.43317,179550247.32694894,3.1030336217326114e+41
172,2716617818.632928,178654755.46057063,4.72152992824497e+41
173,2692046914.1992264,177774502.59323686,7.184209899364712e+41
174,2667784088.378795,176909219.2987051,1.093138721188087e+42
175,2643824924.4406524,176058640.9724234,1.6633036624756668e+42
