step,alpha_1e-05,alpha_0.0001,alpha_0.001
469,626719917.7442005,122704668.5575747,6.547471887119121e+95
470,625386523.5702131,122678778.11836274,9.962536097857143e+95
471,624061189.5282797,122652989.74985243,1.5158847141652616e+96
472,622743829.6784599,122627301.98271002,2.306547694350796e+96
473,621434359.1366392,122601713.37211688,3.509608756259924e+96
474,620132694.0612465,122576222.49735336,5.34016862178226e+96
475,618838751.6401353,122550827.96138848,8.125521358528266e+96
476,617552450.077632,122525528.39047766,1.2363672764674558e+97
477,616273708.5817487,122500322.43376662,1.8812381075279363e+97
478,615002447.3515573,122475208.76290286,2.8624639980177037e+97
479,613738587.5647228,122450186.07165319,4.355482757424321e+97
480,612482051.3651949,122425253.07552813,6.627237954209291e+97
481,611232761.8510549,122400408.51141256,1.0083906962287012e+98
482,609990643.062516,122375651.13720343,1.5343523248546553e+98
483,608755619.9700755,122350979.73145263,2.334647736826154e+98
484,607527618.4628173,122326393.0930168,3.552365364052747e+98
485,606306565.3368607,122301890.04071285,5.4052264419457773e+98
486,605092388.283957,122277469.4129794,8.224512372617538e+98
487,603885015.8802302,122253130.06754433,1.2514296023274274e+99
488,602684377.5750577,122228870.88109745,1.9041567191210415e+99
489,601490403.6800952,122204690.74896942,2.8973366174417374e+99
490,600303025.3584354,122180588.5848159,4.408544417837445e+99
491,599122174.61391,122156563.32030693,6.707975789574105e+99
492,597947784.2805208,122132613.90482219,1.020675645490831e+100
493,596779788.0120081,122108739.3051509,1.5530449214162523e+100
494,595618120.2715504,122084938.50519703,2.363090114467205e+100
495,594462716.3215925,122061210.50569016,3.595642863955465e+100
496,593313512.2138041,122037554.32390018,5.471076843816773e+100
497,592170444.7791653,122013968.99335785,8.324709367275705e+100
498,591033451.6181741,121990453.56357995,1.2666754284018007e+101
499,589902471.0911831,121967007.09979849,1.927354541918326e+101
500,588777442.3088539,121943628.6826955,2.932634080492221e+101
